"False Hypotheses","Obs","Correlation","Type","Srivastava","Chen","SH.Ln.LB","SH.Sn.LB","GCT","Simes"
0.01,20,0.3,"Unif",0.009,0.118,0.05,0.061,0.075,0.135
0.05,20,0.3,"Unif",0.006,0.119,0.041,0.028,0.075,0.066
0.15,20,0.3,"Unif",0.009,0.124,0.029,0.042,0.075,0.063
0.01,50,0.3,"Unif",0.061,0.171,0.135,0.154,0.064,0.334
0.05,50,0.3,"Unif",0.068,0.18,0.086,0.076,0.1,0.09
0.15,50,0.3,"Unif",0.077,0.184,0.098,0.088,0.104,0.064
0.01,100,0.3,"Unif",0.165,0.255,0.309,0.352,0.096,0.585
0.05,100,0.3,"Unif",0.185,0.273,0.232,0.146,0.136,0.152
0.15,100,0.3,"Unif",0.167,0.267,0.185,0.125,0.138,0.077
0.01,20,0.45,"Unif",0.01,0.117,0.049,0.047,0.072,0.132
0.05,20,0.45,"Unif",0.012,0.116,0.044,0.049,0.06,0.077
0.15,20,0.45,"Unif",0.009,0.111,0.045,0.029,0.07,0.057
0.01,50,0.45,"Unif",0.069,0.158,0.151,0.179,0.063,0.348
0.05,50,0.45,"Unif",0.063,0.153,0.108,0.089,0.074,0.103
0.15,50,0.45,"Unif",0.077,0.182,0.088,0.073,0.08,0.085
0.01,100,0.45,"Unif",0.162,0.227,0.318,0.381,0.09,0.621
0.05,100,0.45,"Unif",0.156,0.236,0.204,0.161,0.118,0.166
0.15,100,0.45,"Unif",0.151,0.235,0.184,0.127,0.111,0.102
0.01,20,0.6,"Unif",0.017,0.103,0.059,0.05,0.061,0.127
0.05,20,0.6,"Unif",0.019,0.097,0.045,0.03,0.074,0.08
0.15,20,0.6,"Unif",0.018,0.104,0.05,0.036,0.07,0.06
0.01,50,0.6,"Unif",0.061,0.133,0.157,0.21,0.056,0.349
0.05,50,0.6,"Unif",0.068,0.137,0.092,0.078,0.068,0.092
0.15,50,0.6,"Unif",0.077,0.149,0.084,0.083,0.065,0.064
0.01,100,0.6,"Unif",0.137,0.197,0.407,0.464,0.072,0.6
0.05,100,0.6,"Unif",0.13,0.19,0.241,0.174,0.093,0.152
0.15,100,0.6,"Unif",0.124,0.2,0.181,0.132,0.08,0.088
0.01,20,0.75,"Unif",0.017,0.088,0.048,0.057,0.07,0.113
0.05,20,0.75,"Unif",0.023,0.085,0.045,0.028,0.073,0.07
0.15,20,0.75,"Unif",0.027,0.079,0.031,0.027,0.068,0.06
0.01,50,0.75,"Unif",0.064,0.117,0.218,0.296,0.065,0.311
0.05,50,0.75,"Unif",0.065,0.105,0.106,0.09,0.067,0.098
0.15,50,0.75,"Unif",0.079,0.121,0.104,0.066,0.083,0.069
0.01,100,0.75,"Unif",0.111,0.151,0.684,0.76,0.064,0.609
0.05,100,0.75,"Unif",0.101,0.151,0.312,0.227,0.085,0.145
0.15,100,0.75,"Unif",0.098,0.136,0.237,0.142,0.08,0.079
0.01,20,0.95,"Unif",0.024,0.061,0.51,0.782,0.173,0.114
0.05,20,0.95,"Unif",0.023,0.069,0.06,0.065,0.174,0.03
0.15,20,0.95,"Unif",0.017,0.087,0.045,0.034,0.172,0.035
0.01,50,0.95,"Unif",0.036,0.08,1,1,0.163,0.295
0.05,50,0.95,"Unif",0.029,0.095,0.767,0.723,0.174,0.057
0.15,50,0.95,"Unif",0.032,0.088,0.38,0.21,0.164,0.051
0.01,100,0.95,"Unif",0.044,0.11,1,1,0.165,0.596
0.05,100,0.95,"Unif",0.045,0.089,1,1,0.167,0.111
0.15,100,0.95,"Unif",0.048,0.087,0.996,0.885,0.16,0.055
