"False Hypotheses","Obs","Block_Size","Rho","Type","Srivastava","Chen","SH.Ln.LB","SH.Sn.LB","GCT","Simes"
0.01,20,20,0.5,"Unif",0.027,0.089,0.044,0.07,0.139,0.118
0.05,20,20,0.5,"Unif",0.026,0.077,0.036,0.036,0.128,0.057
0.15,20,20,0.5,"Unif",0.024,0.086,0.033,0.033,0.122,0.06
0.01,50,20,0.5,"Unif",0.06,0.107,0.191,0.199,0.123,0.308
0.05,50,20,0.5,"Unif",0.057,0.094,0.119,0.091,0.116,0.093
0.15,50,20,0.5,"Unif",0.049,0.105,0.096,0.07,0.126,0.072
0.01,100,20,0.5,"Unif",0.095,0.149,0.57,0.604,0.109,0.603
0.05,100,20,0.5,"Unif",0.087,0.138,0.29,0.221,0.134,0.137
0.15,100,20,0.5,"Unif",0.076,0.128,0.252,0.151,0.12,0.091
0.01,20,50,0.5,"Unif",0.027,0.063,0.042,0.06,0.266,0.111
0.05,20,50,0.5,"Unif",0.026,0.072,0.037,0.036,0.29,0.064
0.15,20,50,0.5,"Unif",0.033,0.075,0.04,0.029,0.273,0.06
0.01,50,50,0.5,"Unif",0.045,0.089,0.274,0.347,0.274,0.32
0.05,50,50,0.5,"Unif",0.044,0.088,0.143,0.089,0.274,0.099
0.15,50,50,0.5,"Unif",0.042,0.098,0.106,0.09,0.303,0.062
0.01,100,50,0.5,"Unif",0.068,0.115,0.679,0.727,0.295,0.601
0.05,100,50,0.5,"Unif",0.064,0.106,0.4,0.265,0.306,0.13
0.15,100,50,0.5,"Unif",0.054,0.103,0.3,0.192,0.291,0.081
0.01,20,100,0.5,"Unif",0.032,0.061,0.053,0.069,0.47,0.112
0.05,20,100,0.5,"Unif",0.028,0.069,0.039,0.046,0.477,0.055
0.15,20,100,0.5,"Unif",0.028,0.076,0.046,0.03,0.486,0.058
0.01,50,100,0.5,"Unif",0.035,0.086,0.312,0.388,0.467,0.319
0.05,50,100,0.5,"Unif",0.027,0.088,0.147,0.123,0.464,0.083
0.15,50,100,0.5,"Unif",0.029,0.097,0.123,0.088,0.505,0.051
0.01,100,100,0.5,"Unif",0.033,0.092,0.739,0.828,0.488,0.603
0.05,100,100,0.5,"Unif",0.034,0.106,0.448,0.342,0.49,0.128
0.15,100,100,0.5,"Unif",0.034,0.093,0.316,0.226,0.465,0.065
0.01,20,20,0.65,"Unif",0.023,0.084,0.051,0.063,0.152,0.11
0.05,20,20,0.65,"Unif",0.028,0.065,0.03,0.036,0.136,0.053
0.15,20,20,0.65,"Unif",0.027,0.072,0.042,0.033,0.144,0.05
0.01,50,20,0.65,"Unif",0.058,0.095,0.331,0.368,0.137,0.316
0.05,50,20,0.65,"Unif",0.051,0.092,0.146,0.118,0.141,0.086
0.15,50,20,0.65,"Unif",0.041,0.09,0.126,0.077,0.145,0.049
0.01,100,20,0.65,"Unif",0.077,0.123,0.83,0.856,0.12,0.616
0.05,100,20,0.65,"Unif",0.07,0.122,0.479,0.316,0.143,0.129
0.15,100,20,0.65,"Unif",0.057,0.108,0.371,0.189,0.127,0.071
0.01,20,50,0.65,"Unif",0.027,0.058,0.072,0.097,0.279,0.116
0.05,20,50,0.65,"Unif",0.025,0.065,0.042,0.027,0.311,0.038
0.15,20,50,0.65,"Unif",0.023,0.075,0.031,0.038,0.288,0.053
0.01,50,50,0.65,"Unif",0.028,0.084,0.459,0.557,0.316,0.324
0.05,50,50,0.65,"Unif",0.03,0.08,0.181,0.137,0.292,0.064
0.15,50,50,0.65,"Unif",0.031,0.085,0.128,0.084,0.316,0.035
0.01,100,50,0.65,"Unif",0.044,0.101,0.91,0.943,0.326,0.597
0.05,100,50,0.65,"Unif",0.041,0.103,0.593,0.47,0.323,0.118
0.15,100,50,0.65,"Unif",0.041,0.089,0.439,0.281,0.309,0.053
0.01,20,100,0.65,"Unif",0.018,0.055,0.072,0.12,0.488,0.101
0.05,20,100,0.65,"Unif",0.019,0.064,0.049,0.046,0.517,0.037
0.15,20,100,0.65,"Unif",0.018,0.073,0.032,0.032,0.516,0.041
0.01,50,100,0.65,"Unif",0.017,0.082,0.598,0.683,0.516,0.304
0.05,50,100,0.65,"Unif",0.021,0.088,0.227,0.203,0.493,0.079
0.15,50,100,0.65,"Unif",0.018,0.091,0.176,0.139,0.522,0.051
0.01,100,100,0.65,"Unif",0.022,0.087,0.955,0.981,0.525,0.595
0.05,100,100,0.65,"Unif",0.018,0.1,0.672,0.599,0.509,0.099
0.15,100,100,0.65,"Unif",0.015,0.087,0.528,0.372,0.507,0.047
0.01,20,20,0.8,"Unif",0.022,0.083,0.087,0.157,0.16,0.106
0.05,20,20,0.8,"Unif",0.025,0.063,0.035,0.042,0.14,0.033
