False Hypotheses,Obs,Correlation,Type,SD,CQ,SH.Ln.LB,SH.Sn.LB,GCT,Simes
0.01,20,0.1,Unif,0.104,0.134,0.22,0.157,0.373,0.078
0.05,20,0.1,Unif,0.104,0.134,0.22,0.157,0.373,0.078
0.15,20,0.1,Unif,0.104,0.134,0.22,0.157,0.373,0.078
0.01,50,0.1,Unif,0.104,0.134,0.22,0.157,0.373,0.078
0.05,50,0.1,Unif,0.104,0.134,0.22,0.157,0.373,0.078
0.15,50,0.1,Unif,0.104,0.134,0.22,0.157,0.373,0.078
0.01,100,0.1,Unif,0.104,0.134,0.22,0.157,0.373,0.078
0.05,100,0.1,Unif,0.104,0.134,0.22,0.157,0.373,0.078
0.15,100,0.1,Unif,0.104,0.134,0.22,0.157,0.373,0.078
0.01,20,0.3,Unif,0.033,0.088,0.216,0.128,0.818,0.048
0.05,20,0.3,Unif,0.033,0.088,0.216,0.128,0.818,0.048
0.15,20,0.3,Unif,0.033,0.088,0.216,0.128,0.818,0.048
0.01,50,0.3,Unif,0.033,0.088,0.216,0.128,0.818,0.048
0.05,50,0.3,Unif,0.033,0.088,0.216,0.128,0.818,0.048
0.15,50,0.3,Unif,0.033,0.088,0.216,0.128,0.818,0.048
0.01,100,0.3,Unif,0.033,0.088,0.216,0.128,0.818,0.048
0.05,100,0.3,Unif,0.033,0.088,0.216,0.128,0.818,0.048
0.15,100,0.3,Unif,0.033,0.088,0.216,0.128,0.818,0.048
0.01,20,0.5,Unif,0.009,0.081,0.25,0.139,0.902,0.039
0.05,20,0.5,Unif,0.009,0.081,0.25,0.139,0.902,0.039
0.15,20,0.5,Unif,0.009,0.081,0.25,0.139,0.902,0.039
0.01,50,0.5,Unif,0.009,0.081,0.25,0.139,0.902,0.039
0.05,50,0.5,Unif,0.009,0.081,0.25,0.139,0.902,0.039
0.15,50,0.5,Unif,0.009,0.081,0.25,0.139,0.902,0.039
0.01,100,0.5,Unif,0.009,0.081,0.25,0.139,0.902,0.039
0.05,100,0.5,Unif,0.009,0.081,0.25,0.139,0.902,0.039
0.15,100,0.5,Unif,0.009,0.081,0.25,0.139,0.902,0.039
