"False Hypotheses","Obs","Correlation","Type","Srivastava","Chen","SH.Ln.LB","SH.Sn.LB","GCT","Simes"
0,20,0.3,"Unif",0.001,0.061,0.035,0.015,0.064,0.048
0,50,0.3,"Unif",0.014,0.06,0.046,0.044,0.064,0.049
0,100,0.3,"Unif",0.032,0.05,0.061,0.045,0.056,0.045
0,20,0.45,"Unif",0.006,0.061,0.021,0.03,0.075,0.047
0,50,0.45,"Unif",0.023,0.061,0.045,0.046,0.063,0.046
0,100,0.45,"Unif",0.028,0.05,0.051,0.041,0.05,0.052
0,20,0.6,"Unif",0.005,0.056,0.028,0.025,0.067,0.043
0,50,0.6,"Unif",0.027,0.06,0.046,0.04,0.073,0.041
0,100,0.6,"Unif",0.027,0.051,0.058,0.044,0.066,0.058
0,20,0.75,"Unif",0.015,0.049,0.037,0.03,0.083,0.049
0,50,0.75,"Unif",0.029,0.062,0.048,0.024,0.078,0.052
0,100,0.75,"Unif",0.037,0.058,0.047,0.029,0.061,0.048
0,20,0.95,"Unif",0.018,0.062,0.023,0.021,0.178,0.027
0,50,0.95,"Unif",0.03,0.071,0.039,0.023,0.202,0.029
0,100,0.95,"Unif",0.032,0.073,0.047,0.032,0.199,0.03
