"False Hypotheses","Obs","Block_Size","Rho","Type","Srivastava","Chen","SH.Ln.LB","SH.Sn.LB","GCT","Simes"
0,20,20,0.5,"Unif",0.025,0.057,0.029,0.031,0.147,0.048
0,50,20,0.5,"Unif",0.027,0.058,0.044,0.029,0.132,0.047
0,100,20,0.5,"Unif",0.04,0.067,0.057,0.037,0.139,0.048
0,20,50,0.5,"Unif",0.02,0.058,0.015,0.015,0.303,0.043
0,50,50,0.5,"Unif",0.036,0.077,0.046,0.038,0.298,0.044
0,100,50,0.5,"Unif",0.034,0.072,0.063,0.05,0.326,0.054
0,20,100,0.5,"Unif",0.027,0.07,0.025,0.023,0.507,0.034
0,50,100,0.5,"Unif",0.021,0.066,0.042,0.037,0.478,0.036
0,100,100,0.5,"Unif",0.027,0.07,0.066,0.038,0.508,0.035
0,20,20,0.65,"Unif",0.021,0.054,0.019,0.029,0.159,0.029
0,50,20,0.65,"Unif",0.026,0.063,0.055,0.03,0.156,0.039
0,100,20,0.65,"Unif",0.038,0.07,0.068,0.036,0.151,0.036
0,20,50,0.65,"Unif",0.017,0.061,0.019,0.015,0.327,0.032
0,50,50,0.65,"Unif",0.025,0.076,0.052,0.036,0.321,0.034
0,100,50,0.65,"Unif",0.028,0.073,0.066,0.039,0.36,0.036
0,20,100,0.65,"Unif",0.022,0.073,0.025,0.023,0.536,0.033
0,50,100,0.65,"Unif",0.013,0.066,0.048,0.037,0.5,0.028
0,100,100,0.65,"Unif",0.013,0.069,0.074,0.044,0.534,0.031
0,20,20,0.8,"Unif",0.019,0.052,0.025,0.012,0.162,0.025
0,50,20,0.8,"Unif",0.024,0.066,0.035,0.023,0.168,0.022
0,100,20,0.8,"Unif",0.03,0.07,0.063,0.033,0.166,0.031
0,20,50,0.8,"Unif",0.01,0.058,0.022,0.015,0.337,0.021
0,50,50,0.8,"Unif",0.018,0.074,0.052,0.022,0.332,0.024
0,100,50,0.8,"Unif",0.021,0.073,0.057,0.033,0.369,0.024
0,20,100,0.8,"Unif",0.018,0.07,0.03,0.024,0.558,0.018
0,50,100,0.8,"Unif",0.007,0.066,0.05,0.024,0.509,0.022
0,100,100,0.8,"Unif",0.007,0.069,0.061,0.041,0.542,0.015
