"False Hypotheses","Obs","Correlation","Type","SD","CQ","SH.Ln.LB","SH.Sn.LB","Simes"
0.01,20,0.3,"Unif",0,0,0,0,0
0.05,20,0.3,"Unif",0,0,0,0,0
0.15,20,0.3,"Unif",0,0,0.333333333333333,0,0
0.01,50,0.3,"Unif",0,0,0.333333333333333,0,0
0.05,50,0.3,"Unif",0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667
0.15,50,0.3,"Unif",0,0.333333333333333,0,0,0
0.01,100,0.3,"Unif",0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667
0.05,100,0.3,"Unif",0,0,0,0,0
0.15,100,0.3,"Unif",0,0,0,0,0
0.01,20,0.45,"Unif",0,0,0,0,0
0.05,20,0.45,"Unif",0,0,0,0.333333333333333,0
0.15,20,0.45,"Unif",0,0,0,0.333333333333333,0
0.01,50,0.45,"Unif",0,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333
0.05,50,0.45,"Unif",0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333
0.15,50,0.45,"Unif",0,0.666666666666667,0,0.333333333333333,1
0.01,100,0.45,"Unif",0,0.333333333333333,0.666666666666667,0.666666666666667,1
0.05,100,0.45,"Unif",0,0,0,0,0.333333333333333
0.15,100,0.45,"Unif",0,0,0,0,0
0.01,20,0.6,"Unif",0,0,0.333333333333333,0.333333333333333,0
0.05,20,0.6,"Unif",0,0,0,0,0
0.15,20,0.6,"Unif",0,0,0.333333333333333,0,0
0.01,50,0.6,"Unif",0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333
0.05,50,0.6,"Unif",0.333333333333333,0.666666666666667,0,0.333333333333333,0
0.15,50,0.6,"Unif",0,0.333333333333333,0.666666666666667,0.333333333333333,0
0.01,100,0.6,"Unif",0,0,0,0.333333333333333,0.333333333333333
0.05,100,0.6,"Unif",0,0,0,0,0
0.15,100,0.6,"Unif",0,0.333333333333333,0.333333333333333,0,0
0.01,20,0.75,"Unif",0,0,0,0,0.333333333333333
0.05,20,0.75,"Unif",0,0,0,0.333333333333333,0
0.15,20,0.75,"Unif",0,0,0,0,0
0.01,50,0.75,"Unif",0,0.666666666666667,0.666666666666667,0.333333333333333,0
0.05,50,0.75,"Unif",0.333333333333333,0.666666666666667,0,0,0
0.15,50,0.75,"Unif",0,0.333333333333333,0,0,0
0.01,100,0.75,"Unif",0,0,0.333333333333333,1,0.333333333333333
0.05,100,0.75,"Unif",0,0,0,0.333333333333333,0
0.15,100,0.75,"Unif",0,0,0,0.333333333333333,0
0.01,20,0.95,"Unif",0,0,0.333333333333333,1,0
0.05,20,0.95,"Unif",0,0,0.666666666666667,0,0
0.15,20,0.95,"Unif",0,0,0,0,0
0.01,50,0.95,"Unif",0,0,1,1,0.666666666666667
0.05,50,0.95,"Unif",0,0.333333333333333,1,1,0
0.15,50,0.95,"Unif",0,0,1,0,0
0.01,100,0.95,"Unif",0,0,1,1,0.666666666666667
0.05,100,0.95,"Unif",0,0,1,1,0
0.15,100,0.95,"Unif",0,0,1,1,0
